user_id,name,location,genre_preferences,instruments,primary_role,skill_level,years_of_experience,languages,activity,ratings_feedback,privacy_settings
MUS1814,Liam Miller,Houston,"['Pop', 'EDM', 'Jazz']","['Piano', 'Drums']",Composer,Advanced,16,"['Spanish', 'Italian']","{'last_login': '2025-02-2', 'total_projects_created': 28, 'songs_uploaded': 89, 'profile_views': 3484}","{'average_collaboration_rating': 3.4, 'reviews': ['Review 79', 'Review 37', 'Review 53']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS5296,Benjamin Johnson,Denver,"['Rock', 'Jazz', 'Jazz']","['Bass', 'Trumpet']",Singer,Advanced,10,"['Japanese', 'Italian', 'German']","{'last_login': '2025-02-15', 'total_projects_created': 17, 'songs_uploaded': 90, 'profile_views': 4639}","{'average_collaboration_rating': 4.4, 'reviews': ['Review 55', 'Review 2']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS3916,Emma Brown,San Francisco,"['Blues', 'Hip-Hop', 'Hip-Hop']","['Guitar', 'Guitar']",Sound Engineer,Advanced,5,"['French', 'German', 'Japanese']","{'last_login': '2025-02-22', 'total_projects_created': 39, 'songs_uploaded': 26, 'profile_views': 1453}","{'average_collaboration_rating': 3.5, 'reviews': ['Review 27', 'Review 44']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS3691,Benjamin Rodriguez,New York,"['Jazz', 'Pop']","['Guitar', 'Piano']",Sound Engineer,Intermediate,20,"['French', 'German']","{'last_login': '2025-02-17', 'total_projects_created': 50, 'songs_uploaded': 77, 'profile_views': 1150}","{'average_collaboration_rating': 3.7, 'reviews': ['Review 3']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS5839,Ava Davis,Denver,['Folk'],"['Guitar', 'Trumpet']",Singer,Intermediate,26,['French'],"{'last_login': '2025-02-10', 'total_projects_created': 37, 'songs_uploaded': 45, 'profile_views': 3111}","{'average_collaboration_rating': 4.5, 'reviews': ['Review 38']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS7957,Benjamin Jones,Houston,['Jazz'],['Drums'],Composer,Intermediate,4,['Italian'],"{'last_login': '2025-02-15', 'total_projects_created': 28, 'songs_uploaded': 8, 'profile_views': 4671}","{'average_collaboration_rating': 3.0, 'reviews': ['Review 50', 'Review 98']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS1510,James Smith,Seattle,['Blues'],['Trumpet'],Singer,Intermediate,28,['Portuguese'],"{'last_login': '2025-02-9', 'total_projects_created': 22, 'songs_uploaded': 5, 'profile_views': 3471}","{'average_collaboration_rating': 4.8, 'reviews': ['Review 56', 'Review 20', 'Review 28']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS6294,William Smith,Boston,"['Classical', 'Rock']","['Guitar', 'Saxophone']",Sound Engineer,Advanced,29,"['Italian', 'English']","{'last_login': '2025-02-5', 'total_projects_created': 10, 'songs_uploaded': 67, 'profile_views': 1929}","{'average_collaboration_rating': 4.7, 'reviews': ['Review 25']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS3233,Isabella Smith,Austin,"['Pop', 'Pop', 'Blues']","['Piano', 'Guitar']",Singer,Professional,16,"['French', 'Spanish', 'Italian']","{'last_login': '2025-02-28', 'total_projects_created': 42, 'songs_uploaded': 89, 'profile_views': 32}","{'average_collaboration_rating': 3.6, 'reviews': ['Review 1', 'Review 97']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS1827,Sophia Miller,Seattle,"['Pop', 'EDM', 'Classical']","['Bass', 'Piano']",Lyricist,Beginner,11,['Spanish'],"{'last_login': '2025-02-7', 'total_projects_created': 10, 'songs_uploaded': 47, 'profile_views': 4426}","{'average_collaboration_rating': 4.2, 'reviews': ['Review 35']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS5172,Sophia Garcia,Miami,['Classical'],"['Drums', 'Bass']",Sound Engineer,Intermediate,16,"['Portuguese', 'French', 'English']","{'last_login': '2025-02-11', 'total_projects_created': 44, 'songs_uploaded': 65, 'profile_views': 1499}","{'average_collaboration_rating': 3.1, 'reviews': ['Review 87', 'Review 69']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS5691,Emma Johnson,Boston,['Pop'],"['Trumpet', 'Guitar']",Producer,Intermediate,24,"['French', 'Italian', 'Spanish']","{'last_login': '2025-02-13', 'total_projects_created': 4, 'songs_uploaded': 81, 'profile_views': 1114}","{'average_collaboration_rating': 4.1, 'reviews': ['Review 69', 'Review 57']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS9717,James Jones,San Francisco,"['Folk', 'Rock', 'Blues']",['Guitar'],Producer,Advanced,14,"['Portuguese', 'Spanish']","{'last_login': '2025-02-24', 'total_projects_created': 24, 'songs_uploaded': 82, 'profile_views': 1251}","{'average_collaboration_rating': 3.4, 'reviews': ['Review 20', 'Review 74']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS8947,Sophia Rodriguez,Miami,['Pop'],"['Flute', 'Bass']",Sound Engineer,Advanced,29,['Spanish'],"{'last_login': '2025-02-27', 'total_projects_created': 25, 'songs_uploaded': 63, 'profile_views': 1944}","{'average_collaboration_rating': 3.1, 'reviews': ['Review 57']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS9191,Isabella Jones,Austin,"['Rock', 'Rock']","['Guitar', 'Piano']",Producer,Advanced,3,"['Japanese', 'Spanish', 'Portuguese']","{'last_login': '2025-02-8', 'total_projects_created': 36, 'songs_uploaded': 99, 'profile_views': 3130}","{'average_collaboration_rating': 3.6, 'reviews': ['Review 87', 'Review 65']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS3853,James Martinez,Austin,"['EDM', 'Reggae', 'Rock']",['Bass'],Singer,Beginner,24,['Japanese'],"{'last_login': '2025-02-9', 'total_projects_created': 17, 'songs_uploaded': 90, 'profile_views': 2040}","{'average_collaboration_rating': 3.3, 'reviews': ['Review 14', 'Review 95', 'Review 84']}","{'data_consent': False, 'profile_visibility': 'Private'}"
MUS2993,Ava Brown,Houston,"['EDM', 'Classical']","['Synthesizer', 'Bass']",Singer,Intermediate,15,"['Italian', 'French']","{'last_login': '2025-02-22', 'total_projects_created': 37, 'songs_uploaded': 87, 'profile_views': 3925}","{'average_collaboration_rating': 3.6, 'reviews': ['Review 86', 'Review 95']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS2061,Ava Rodriguez,Austin,"['Rock', 'Classical', 'Pop']",['Bass'],Singer,Advanced,26,"['Spanish', 'Italian', 'French']","{'last_login': '2025-02-23', 'total_projects_created': 2, 'songs_uploaded': 53, 'profile_views': 145}","{'average_collaboration_rating': 4.5, 'reviews': ['Review 33', 'Review 72', 'Review 64']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS1476,James Jones,New York,['Jazz'],['Trumpet'],Singer,Beginner,19,"['Spanish', 'Japanese', 'Italian']","{'last_login': '2025-02-9', 'total_projects_created': 11, 'songs_uploaded': 32, 'profile_views': 1966}","{'average_collaboration_rating': 3.0, 'reviews': ['Review 98', 'Review 61']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS2157,Isabella Smith,San Francisco,"['Reggae', 'EDM']","['Guitar', 'Guitar']",Composer,Advanced,2,"['Italian', 'Spanish']","{'last_login': '2025-02-17', 'total_projects_created': 46, 'songs_uploaded': 74, 'profile_views': 3188}","{'average_collaboration_rating': 3.5, 'reviews': ['Review 87', 'Review 5']}","{'data_consent': True, 'profile_visibility': 'Public'}"
MUS5756,James Garcia,Boston,['EDM'],"['Violin', 'Guitar']",Composer,Intermediate,29,"['English', 'Italian']","{'last_login': '2025-02-3', 'total_projects_created': 17, 'songs_uploaded': 17, 'profile_views': 3628}","{'average_collaboration_rating': 4.8, 'reviews': ['Review 17', 'Review 36']}","{'data_consent': True, 'profile_visibility': 'Private'}"
MUS7723,Sophia Brown,Austin,['Classical'],"['Drums', 'Drums']",Singer,Advanced,15,['English'],"{'last_login': '2025-02-15', 'total_projects_created': 49, 'songs_uploaded': 33, 'profile_views': 4668}","{'average_collaboration_rating': 4.7, 'reviews': ['Review 95', 'Review 68', 'Review 9']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS2210,Isabella Brown,San Francisco,['Rock'],"['Piano', 'Guitar']",Composer,Advanced,13,"['English', 'Portuguese', 'Japanese']","{'last_login': '2025-02-10', 'total_projects_created': 7, 'songs_uploaded': 31, 'profile_views': 1997}","{'average_collaboration_rating': 4.0, 'reviews': ['Review 6', 'Review 53', 'Review 15']}","{'data_consent': False, 'profile_visibility': 'Public'}"
MUS1824,Noah Martinez,Houston,"['Rock', 'Rock', 'Rock']","['Guitar', 'Guitar']",Singer,Intermediate,29,['Portuguese'],"{'last_login': '2025-02-22', 'total_projects_created': 27, 'songs_uploaded': 96, 'profile_views': 851}","{'average_collaboration_rating': 4.5, 'reviews': ['Review 15', 'Review 19', 'Review 68']}","{'data_consent': False, 'profile_visibility': 'Private'}"
